,ingredient name,kor ingredient name,data available level,score with min,score,score class,cancer,developmental & reproductive toxicity,allergies & immunotoxicity
3229,BEER,맥주,Fair,1,1,Green,LOW,LOW,LOW
3230,DIMETHICONOL/ IPDI COPOLYMER,다이메티콘올/아이피디아이코폴리머,None,1,1,Green,LOW,LOW,LOW
3231,FRAGARIA CHILOENSIS (STRAWBERRY) FRUIT EXTRACT,비치스트로베리추출물,Limited,1,1,Green,LOW,LOW,LOW
3232,CITRUS PARADISI (GRAPEFRUIT) SEED OIL,자몽씨오일,Limited,1,1,Green,LOW,LOW,LOW
3233,"PANTHENOL, DL-",,Limited,1,1,Green,LOW,LOW,LOW
3234,CAMELLIA JAPONICA FLOWER EXTRACT,동백나무꽃추출물,None,1,1,Green,LOW,LOW,LOW
3235,SILICONE QUATERNIUM-18,실리콘쿼터늄-18,None,1,1,Green,LOW,LOW,LOW
3236,HYDROLYZED SOY FLOUR,하이드롤라이즈드콩가루,None,1,1,Green,LOW,LOW,LOW
3237,PPG-15 STEARYL ETHER BENZOATE,피피지-15스테아릴에터벤조에이트,None,1,1,Green,LOW,LOW,LOW
3238,RHODOCHROSITE EXTRACT,능망간석추출물,Limited,1,1,Green,LOW,LOW,LOW
3239,AVENA SATIVA (OAT) BRAN EXTRACT,귀리겨추출물,Fair,1,1,Green,LOW,LOW,LOW
3240,BASIC BROWN 16,염기성갈색16호,Limited,1,1,Green,LOW,LOW,LOW
3241,COCOYL SARCOSINE,코코일사코신,Limited,1-2,2,Green,LOW,LOW,LOW
3242,HELIANTHUS ANNUUS (SUNFLOWER) PETAL EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3243,MANGO,,Limited,1,1,Green,LOW,LOW,LOW
3244,POLYGLYCERYL-10 DECAOLEATE,폴리글리세릴-10데카올리에이트,Limited,1,1,Green,LOW,LOW,LOW
3245,ROSE,,Fair,1,1,Green,LOW,LOW,LOW
3246,AMBER POWDER,호박가루,Fair,1,1,Green,LOW,LOW,LOW
3247,DIMETHICONE PEG-8 LAURATE,다이메티콘피이지-8라우레이트,Limited,3,3,Yellow,LOW,LOW,LOW
3248,OCIMUM TENUIFLORUM EXTRACT,홀리바질추출물,None,1,1,Green,LOW,LOW,LOW
3249,PYRUS COMMUNIS (PEAR) FRUIT EXTRACT,서양배추출물,Limited,1,1,Green,LOW,LOW,LOW
3250,IONONE,아이오논,Limited,1,1,Green,LOW,LOW,LOW
3251,GLYCERYL LAURYL ETHER,글리세릴라우릴에터,None,1,1,Green,LOW,LOW,LOW
3252,AMMONIUM ACRYLYL DIMETHYLTAURATE / VP COPOLYMER,,None,1,1,Green,LOW,LOW,LOW
3253,SODIUM BIS-HYDROXYETHYLGLYCINATE COCO-GLUCOSIDES CROSSPOLYMER,소듐비스-하이드록시에틸글리시네이트코코-글루코사이드크로스폴리머,None,1,1,Green,LOW,LOW,LOW
3254,ETHYL HEXANEDIOL,에틸헥산다이올,Limited,2-3,3,Yellow,LOW,LOW,MODERATE
3255,GUANIDINE CARBONATE,구아니딘카보네이트,Limited,1,1,Green,LOW,LOW,LOW
3256,N6-FURFURYLADENINE,,Fair,1,1,Green,LOW,LOW,LOW
3257,NONOXYNOL-10,노녹시놀-10,Limited,3,3,Yellow,LOW,LOW,LOW
3258,PELVETIA CANALICULATA (CHANNELLED WRACK) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3259,RETINYL LINOLEATE,레티닐리놀리에이트,Limited,6-9,9,Red,LOW_MODERATE,HIGH,LOW
3260,TEA STEARATE,티이에이-스테아레이트,Limited,1-3,3,Yellow,LOW,LOW,LOW
3261,CHRYSANTHEMUM MORIFOLIUM FLOWER EXTRACT,국화추출물,None,1,1,Green,LOW,LOW,LOW
3262,MORINGA OIL/ HYDROGENATED MORINGA OIL ESTERS,드럼스틱오일/하이드로제네이티드드럼스틱오일에스터,None,1,1,Green,LOW,LOW,LOW
3263,POLYGLYCERYL-2 SESQUIOLEATE,폴리글리세릴-2세스퀴올리에이트,Limited,1,1,Green,LOW,LOW,LOW
3264,PYRUS MALUS (APPLE) SEED EXTRACT,사과씨추출물,Limited,1,1,Green,LOW,LOW,LOW
3265,RHODODENDRON FERRUGINEUM EXTRACT,페루기네움철쭉추출물,None,1,1,Green,LOW,LOW,LOW
3266,ZIZYPHUS JOAZEIRO BARK EXTRACT,주아나무껍질추출물,None,1,1,Green,LOW,LOW,LOW
3267,SODIUM LANETH 40 MALEATE/ STYRENE SULFONATE COPOLYMER,소듐라네스-40말리에이트/스타이렌설포네이트코폴리머,None,1,1,Green,LOW,LOW,LOW
3268,ALARIA ESCULENTA EXTRACT,배더락스추출물,None,1,1,Green,LOW,LOW,LOW
3269,AFRICAN BUTTER,,None,1,1,Green,LOW,LOW,LOW
3270,ANIBA ROSODORA (ROSEWOOD),,Limited,1,1,Green,LOW,LOW,LOW
3271,CAPSAICIN,캡사이신,Fair,1,1,Green,LOW,LOW,LOW
3272,DIETHYLHEXYL MALEATE,다이에틸헥실말리에이트,Limited,6,6,Yellow,LOW,LOW,HIGH
3273,ORMENIS MULTICAULIS (CHAMOMILE) FLOWER WAX,,Limited,1,1,Green,LOW,LOW,LOW
3274,VITAMIN D,,Good,4,4,Yellow,LOW,LOW,LOW
3275,JUGLANS REGIA (PERSIAN WALNUT) SEED OIL,,Limited,1,1,Green,LOW,LOW,LOW
3276,TEA-SULFATE,티이에이-설페이트,Limited,1-2,2,Green,LOW,LOW,LOW
3277,MELALEUCA VIRIDIFLORA (NIAOULI) LEAF OIL,,None,1,1,Green,LOW,LOW,LOW
3278,RED CLAY,,Limited,1,1,Green,LOW,LOW,LOW
3279,AVENA SATIVA (OAT) STRAW,,Fair,1,1,Green,LOW,LOW,LOW
3280,BETULA ALBA (BIRCH) SAP,,Limited,1,1,Green,LOW,LOW,LOW
3281,DEAD SEA MUD,,Limited,1,1,Green,LOW,LOW,LOW
3282,DIETHYLHEXYLSUCCINATE,다이에틸헥실석시네이트,Limited,1,1,Green,LOW,LOW,LOW
3283,HELICHRYSUM ANGUSTIFOLIUM (EVERLASTING) WAX,,None,1,1,Green,LOW,LOW,LOW
3284,IRIS PALLIDA (DALMATION IRIS) ROOT EXTRACT,,None,1,1,Green,LOW,LOW,LOW
3285,MIPA-BORATE,미파-보레이트,Limited,3,3,Yellow,LOW,LOW,LOW
3286,ROSA MULTIFLORA (JAPANESE ROSE) FRUIT EXTRACT,,Limited,3,3,Yellow,LOW,LOW,HIGH
3287,UNDECYLENIC ACID,운데실레닉애씨드,Limited,1,1,Green,LOW,LOW,LOW
3288,ACANTHOPANAX SENTICOSUS (ELEUTHERO GINSENG) ROOT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3289,KAPPAPHYCUS ALVAREZII EXTRACT,코토니추출물,None,1,1,Green,LOW,LOW,LOW
3290,POLIANTHES TUBEROSA FLOWER WAX,튜베로즈꽃왁스,None,1,1,Green,LOW,LOW,LOW
3291,TAMARINDUS INDICA EXTRACT,타마린드추출물,Limited,1,1,Green,LOW,LOW,LOW
3292,INDIGOFERA TINCTORIA LEAF POWDER,인디고잎가루,None,1,1,Green,LOW,LOW,LOW
3293,HOMARINE HCL,호마린에이치씨엘,None,1,1,Green,LOW,LOW,LOW
3294,DEA-OLETH-3 PHOSPHATE,,None,1-5,5,Yellow,LOW,LOW,LOW
3295,HYDROXYLATED LECITHIN,하이드록실레이티드레시틴,Limited,1,1,Green,LOW,LOW,LOW
3296,HYDROXYPROLINE,하이드록시프롤린,Fair,1,1,Green,LOW,LOW,LOW
3297,MOLASSES EXTRACT,당밀추출물,None,1,1,Green,LOW,LOW,LOW
3298,PRUNUS AMYGDALUS (BITTER ALMOND) PROTEIN,,Limited,1,1,Green,LOW,LOW,LOW
3299,BENZOYL ISOPROPANOL,벤조일아이소프로판올,Limited,1,1,Green,LOW,LOW,LOW
3300,COMMIPHORA MYRRHA (MYRRH) RESIN,,Limited,1,1,Green,LOW,LOW,LOW
3301,DISODIUM LAURIMINODIPROPIONATE TOCOPHERYL PHOSPHATES,다이소듐라우리미노다이프로피오네이트토코페릴포스페이트,None,1,1,Green,LOW,LOW,LOW
3302,ISOBORNYL ACRYLATE,아이소보닐아크릴레이트,Fair,2-5,5,Yellow,LOW,LOW,MODERATE
3303,POTASSIUM PALM KERNELATE,포타슘팜커넬레이트,None,1,1,Green,LOW,LOW,LOW
3304,PRUNUS ARMENIACA (APRICOT) KERNEL OIL UNSAPONIFIABLES,살구씨오일불검화물,Limited,1,1,Green,LOW,LOW,LOW
3305,TRIMETHYLOLPROPANE TRIMETHACRYLATE,트라이메틸올프로판트라이메타크릴레이트,Fair,2-5,5,Yellow,LOW,LOW,MODERATE
3306,ETHYLENE,,Fair,1,1,Green,LOW,LOW,LOW
3307,HEXAMETHYLENE DIISOCYANATE,,Fair,4,4,Yellow,LOW,LOW,MODERATE
3308,ROSA HYBRID FLOWER EXTRACT,장미꽃추출물,None,1,1,Green,LOW,LOW,LOW
3309,OPUNTIA FICUS INDICA FRUIT EXTRACT,보검선인장열매추출물,None,1,1,Green,LOW,LOW,LOW
3310,PANCRATIUM MARITIMUM (SEA DAFFODIL) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3311,BUPLEURUM FALCATUM (SICKLE-LEAF HARE'S EAR) ROOT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3312,C9-11 PARETH-8,C9-11파레스-8,Limited,1,1,Green,LOW,LOW,LOW
3313,CALCIUM PEROXIDE,칼슘퍼옥사이드,Limited,1-2,2,Green,LOW,LOW,LOW
3314,CAPSICUM ANNUUM (PAPRIKA) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3315,MEA-BORATE,엠이에이-보레이트,Limited,3,3,Yellow,LOW,LOW,LOW
3316,RUBUS FRUTICOSUS (BLACKBERRY),,Limited,1,1,Green,LOW,LOW,LOW
3317,HYDROGENATED POTATO STARCH,하이드로제네이티드감자전분,None,1,1,Green,LOW,LOW,LOW
3318,PAEONIA LACTIFLORA ROOT EXTRACT,작약뿌리추출물,None,1,1,Green,LOW,LOW,LOW
3319,PERILLA FRUTESCENS LEAF EXTRACT,소엽잎추출물,None,1,1,Green,LOW,LOW,LOW
3320,JASMINUM SAMBAC (JASMINE) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3321,AMYL CINNAMYL ALCOHOL,아밀신나밀알코올,Limited,3-4,4,Yellow,LOW,LOW,HIGH
3322,DIMETHYL POLYSILOXANE,,Limited,1,1,Green,LOW,LOW,LOW
3323,PAEONIA ALBIFLORA (WHITE PEONY) FLOWER EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3324,PYRUS MALUS,,Limited,1,1,Green,LOW,LOW,LOW
3325,SCHIZANDRA CHINENSIS (SCHIZANDRA BERRY) FRUIT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3326,SOLANUM LYCOCARPUM (FRUIT FOR WOLVES) FRUIT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3327,TRIMETHYLOLPROPANE TRIETHYLHEXANOATE,트라이메틸올프로판트라이에틸헥사노에이트,None,1,1,Green,LOW,LOW,LOW
3328,"1,10-DECANEDIOL","1,10-데칸다이올",Limited,1,1,Green,LOW,LOW,LOW
3329,HEXYL SALICYLATE,헥실살리실레이트,Limited,1-2,2,Green,LOW,LOW,LOW
3330,HYDROGENATED APRICOT OIL UNSAPONIFIABLES,하이드로제네이티드아프리코트오일불검화물,None,1,1,Green,LOW,LOW,LOW
3331,OCTADECYL DI-T-BUTYL-4-HYDROXYHYDROCINNAMATE,옥타데실다이-t-부틸-4-하이드록시하이드로신나메이트,Limited,1,1,Green,LOW,LOW,LOW
3332,PEG-26-PPG-30 PHOSPHATE,피이지-26-피피지-30포스페이트,None,3,3,Yellow,LOW,LOW,LOW
3333,PPG-17,피피지-17,Limited,1,1,Green,LOW,LOW,LOW
3334,SCHINUS TEREBINTHIFOLIUS SEED EXTRACT,브라질리언페퍼씨추출물^브라질페퍼씨추출물,None,1,1,Green,LOW,LOW,LOW
3335,AZADIRACHTIN INDICA (NEEM) POWDER,,None,1,1,Green,LOW,LOW,LOW
3336,ACRYLAMIDE/ SODIUM ACRYLOYLDIMETHYLTAURATE/ ACRYLIC ACID COPOLYMER,아크릴아마이드/소듐아크릴로일다이메틸타우레이트/아크릴릭애씨드코폴리머,Limited,1-2,2,Green,LOW,LOW,LOW
3337,PROPANEDIOL DICAPRYLATE,프로판다이올다이카프릴레이트,None,1,1,Green,LOW,LOW,LOW
3338,ALEURITES MOLUCCANUS (KUKUI) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3339,LAMINARIA DIGITATA POWDER,호스테일켈프가루,Limited,1,1,Green,LOW,LOW,LOW
3340,NYLON-12 POLYISOPRENE,,None,1,1,Green,LOW,LOW,LOW
3341,COCAMIDOPROPYL DIMETHYLAMINE,코카미도프로필다이메틸아민,Fair,2-5,5,Yellow,LOW,LOW,MODERATE
3342,GLYCINE MAX (SOYBEAN) SYMBIOSOME EXTRACT,검정콩뿌리혹추출물,Fair,1,1,Green,LOW,LOW,LOW
3343,MYROXYLON PEREIRAE (BALSAM PERU) OIL,발삼페루오일,Fair,1-3,3,Yellow,LOW,LOW,LOW
3344,CANARIUM LUZONICUM (ELEMI) OIL,,None,1,1,Green,LOW,LOW,LOW
3345,CETEARETH-6,세테아레스-6,None,1-7,7,Red,LOW,LOW,LOW
3346,COD LIVER OIL,코드리버오일,Limited,1,1,Green,LOW,LOW,LOW
3347,DIMETHICONAL,,None,1,1,Green,LOW,LOW,LOW
3348,ECHINACEA ANGUSTIFOLIA (CONEFLOWER),,Limited,1,1,Green,LOW,LOW,LOW
3349,ETHYL LINOLENATE,에틸리놀리네이트,Limited,1,1,Green,LOW,LOW,LOW
3350,ETHYL OLEATE,에틸올리에이트,Limited,1,1,Green,LOW,LOW,LOW
3351,LACTIS PROTEINUM,락티스프로테이눔,None,1,1,Green,LOW,LOW,LOW
3352,PISTACIA VERA (PISTACHIO NUT) SEED OIL,,Limited,1,1,Green,LOW,LOW,LOW
3353,PLANT GLYCERIN,,None,1,1,Green,LOW,LOW,LOW
3354,TUBER MAGNATUM EXTRACT,흰서양송로추출물,None,1,1,Green,LOW,LOW,LOW
3355,VEGETABLE GLYCERYL STEARATE,,None,1,1,Green,LOW,LOW,LOW
3356,DIGLYCERYL SEBACATE/ ISOPALMITATE,다이글리세릴세바케이트/아이소팔미테이트,None,1,1,Green,LOW,LOW,LOW
3357,HYDROGENATED PHOSPHATIDYLCHOLINE,하이드로제네이티드포스파티딜콜린,Limited,1,1,Green,LOW,LOW,LOW
3358,OUBAKU EKISU,,None,1,1,Green,LOW,LOW,LOW
3359,PEG-10,피이지-10,Limited,3,3,Yellow,LOW,LOW,LOW
3360,SODIUM SAFFLOWERATE,소듐사플라워레이트,None,1,1,Green,LOW,LOW,LOW
3361,CETEARAMIDOETHYLDIETHONIUM SUCCINOYL HYDROLYZED PEA PROTEIN,세테아라미도에틸다이에토늄석시노일하이드롤라이즈드완두콩단백질,None,1,1,Green,LOW,LOW,LOW
3362,CITRUS AURANTIUM AMARA (BITTER ORANGE) PEEL WATER,,None,1,1,Green,LOW,LOW,LOW
3363,ALEURITES MOLUCCANA (KUKUI) SEED EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3364,GLYCERYL TRIACETYL HYDROXYSTEARATE,글리세릴트라이아세틸하이드록시스테아레이트,Limited,1,1,Green,LOW,LOW,LOW
3365,N-DODECYL METHACRYLATE,,Fair,2-5,5,Yellow,LOW,LOW,MODERATE
3366,SODIUM BOROSILICATE,,None,2,2,Green,LOW,LOW,LOW
3367,STEARYL PPG-3 MYRISTYL ETHER DIMER DILINOLEATE,스테아릴/피피지-3미리스틸에터다이머다이리놀리에이트,None,1,1,Green,LOW,LOW,LOW
3368,STEVIOSIDE,스테비오사이드,Limited,1,1,Green,LOW,LOW,LOW
3369,ACETYL HEXAPEPTIDE-1,아세틸헥사펩타이드-1,None,1,1,Green,LOW,LOW,LOW
3370,AMMONIUM STYRENE/ ACRYLATES COPOLYMER,암모늄스타이렌/아크릴레이트코폴리머,None,2,2,Green,LOW,LOW,LOW
3371,GLYCERETH-7,글리세레스-7,None,1,1,Green,LOW,LOW,LOW
3372,LEPTOSPERMUM PETERSONII OIL,레몬향티트리오일,None,1,1,Green,LOW,LOW,LOW
3373,ETHYLTRIMONIUM CHLORIDE METHACRYLATE/ HYDROXYETHYLACRYLAMIDE COPOLYMER,에틸트라이모늄클로라이드메타크릴레이트/하이드록시에틸아크릴아마이드코폴리머,None,1,1,Green,LOW,LOW,LOW
3374,TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES,테트라메틸아세틸옥타하이드로나프탈렌,Limited,2,2,Green,LOW,LOW,LOW
3375,ACRYLATES/ AMINOACRYLATES/ C10-30 ALKYL PEG-20 ITACONATE COPOLYMER,아크릴레이트/아미노아크릴레이트/C10-30알킬피이지-20이타코네이트코폴리머,None,3,3,Yellow,LOW,LOW,LOW
3376,BUTYLENE,,Fair,1,1,Green,LOW,LOW,LOW
3377,COCODIMONIUM HYDROXYPROPYL HYDROLYZED RICE PROTEIN,코코다이모늄하이드록시프로필하이드롤라이즈드쌀단백질,None,1,1,Green,LOW,LOW,LOW
3378,JASMINUM GRANDIFLORUM (JASMINE) ABSOLUTE,,Limited,1,1,Green,LOW,LOW,LOW
3379,PEG-5 GLYCERYL STEARATE,피이지-5글리세릴스테아레이트,None,3,3,Yellow,LOW,LOW,LOW
3380,CLADOSIPHON OKAMURANUS EXTRACT,오카무라큰실말추출물,None,1,1,Green,LOW,LOW,LOW
3381,JUGLANS NIGRA (BLACK WALNUT) SHELL EXTRACT,흑호두껍질추출물,Limited,1,1,Green,LOW,LOW,LOW
3382,KAEMPFERIA GALANGA ROOT EXTRACT,갈란가뿌리추출물,None,1,1,Green,LOW,LOW,LOW
3383,PEG-150 STEARATE,피이지-150스테아레이트,Limited,1-3,3,Yellow,LOW,LOW,LOW
3384,MARULA OIL,,None,1,1,Green,LOW,LOW,LOW
3385,PALMITOYL DIPEPTIDE-5 DIAMINOHYDROXYBUTYRATE,팔미토일다이펩타이드-5다이아미노하이드록시부틸레이트,None,1,1,Green,LOW,LOW,LOW
3386,BETULA ALBA (BIRCH) OIL,,Limited,1,1,Green,LOW,LOW,LOW
3387,CLAY MINERALS,클레이미네랄,Limited,4,4,Yellow,LOW,LOW,LOW
3388,SD ALCOHOL,,Fair,4,4,Yellow,LOW,LOW_MODERATE,LOW
3389,TRICLOCARBAN,트리클로카반,Fair,3,3,Yellow,LOW,LOW,LOW
3390,METHYL TYROSINATE HCL,메틸타이로시네이트에이치씨엘,Limited,1,1,Green,LOW,LOW,LOW
3391,ORYZA SATIVA (RICE) BRAN,쌀겨,Fair,1-2,2,Green,LOW,LOW,LOW
3392,POTASSIUM BENZOATE,포타슘벤조에이트,Fair,1,1,Green,LOW,LOW,LOW
3393,PPG-12-PEG-50 LANOLIN,피피지-12-피이지-50라놀린,None,3,3,Yellow,LOW,LOW,LOW
3394,RUBUS IDAEUS (RASPBERRY),,Limited,1,1,Green,LOW,LOW,LOW
3395,SODIUM COCOGLYCERYL ETHER SULFONATE,소듐코코글리세릴에터설포네이트,None,1,1,Green,LOW,LOW,LOW
3396,MENTHA ARVENSIS (WILD MINT) EXTRACT,,None,1,1,Green,LOW,LOW,LOW
3397,YUCCA FILAMENTOSA (SPOONLEAF YUCCA) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3398,EUPATORIUM REBAUDIANUM LEAF EXTRACT,에우파토리움 레바우디아눔잎추출물,None,1,1,Green,LOW,LOW,LOW
3399,LACTOCOCCUS FERMENT LYSATE,락토코쿠스발효용해물,None,1,1,Green,LOW,LOW,LOW
3400,POLYURETHANE-15,폴리우레탄-15,None,1,1,Green,LOW,LOW,LOW
3401,LITSEA CUBEBA FRUIT EXTRACT,,None,1,1,Green,LOW,LOW,LOW
3402,COCOGLUCOSIDES HYDROXYPROPYLTRIMONIUM CHLORIDE,코코글루코사이드하이드록시프로필트라이모늄클로라이드,None,1,1,Green,LOW,LOW,LOW
3403,NICOTIANA SYLVESTRIS EXTRACT,,None,1,1,Green,LOW,LOW,LOW
3404,ACRYLAMIDE/ AMMONIUM ACRYLATE COPOLYMER,아크릴아마이드/암모늄아크릴레이트코폴리머,Limited,1-2,2,Green,LOW,LOW,LOW
3405,CALENDULA OFFICINALIS (POT MARIGOLD) FLOWER WATER,,Limited,1,1,Green,LOW,LOW,LOW
3406,CITRUS AURANTIUM DULCIS (ORANGE) PEEL,,None,1,1,Green,LOW,LOW,LOW
3407,DAUCUS CAROTA SATIVA (CARROT) ROOT,당근,Limited,1,1,Green,LOW,LOW,LOW
3408,HYSSOPUS OFFICINALIS (HYSSOP) OIL,,Limited,1,1,Green,LOW,LOW,LOW
3409,PASSIFLORA EDULIS (PASSION FRUIT),,Limited,1,1,Green,LOW,LOW,LOW
3410,ROSE FLOWER WATER,,None,1,1,Green,LOW,LOW,LOW
3411,SWERTIA JAPONICA (SEMBURI) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3412,BIXA ORELLANA SEED OIL,아나토씨오일,None,1,1,Green,LOW,LOW,LOW
3413,CASSIA AURICULATA LEAF POWDER,테너스카시아잎가루,None,1,1,Green,LOW,LOW,LOW
3414,DISODIUM CETYL PHENYL ETHER DISULFONATE,다이소듐세틸페닐에터다이설포네이트,None,1,1,Green,LOW,LOW,LOW
3415,OCTYLDODECYL OLIVATE,옥틸도데실올리베이트,None,1,1,Green,LOW,LOW,LOW
3416,SYMPHYTUM OFFICINALE (COMFREY) INFUSION,,Limited,4,4,Yellow,MODERATE,LOW,LOW
3417,SODIUM COCOYL HYDROLYZED AMARANTH PROTEIN,소듐코코일하이드롤라이즈드아마란스단백질,None,1,1,Green,LOW,LOW,LOW
3418,ACETYL-CYSTEINE,아세틸시스테인,Fair,1,1,Green,LOW,LOW,LOW
3419,BENZYL NICOTINATE,벤질니코티네이트,Limited,1,1,Green,LOW,LOW,LOW
3420,COLLOIDAL GOLD,금콜로이드,Fair,1-4,4,Yellow,LOW,LOW,LOW
3421,HYDROLYZED ADANSONIA DIGITATA EXTRACT,하이드롤라이즈드바오밥나무추출물,None,1,1,Green,LOW,LOW,LOW
3422,ISOSTEARYL ETHYLIMIDAZOLINIUM ETHOSULFATE,아이소스테아릴에틸이미다졸리늄에토설페이트,None,3,3,Yellow,LOW,LOW,HIGH
3423,PEG-150/ STEARYL ALCOHOL/ SMDI COPOLYMER,피이지-150/스테아릴알코올/에스엠디아이코폴리머,None,3,3,Yellow,LOW,LOW,LOW
3424,PEG-16 SOY STEROL,피이지-16소이스테롤,Limited,1-6,6,Yellow,LOW,LOW,LOW
3425,POLYGLYCERYL ISOSTEARATE,,None,1,1,Green,LOW,LOW,LOW
3426,CHAMOMILLA RECUTITA (MATRICARIA) LEAF EXTRACT,마트리카리아잎추출물,Limited,1,1,Green,LOW,LOW,LOW
3427,DIETHANOLAMINE,,Robust,10,10,Red,MODERATE,LOW,MODERATE
3428,HAIR KERATIN AMINO ACIDS,헤어케라틴아미노산,None,3,3,Yellow,LOW,LOW,LOW
3429,SODIUM COCAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE,소듐코카미도프로필피지-다이모늄클로라이드포스페이트,None,1,1,Green,LOW,LOW,LOW
3430,SODIUM COCOABUTTERAMPHOACETATE,소듐코코아버터암포아세테이트,None,1,1,Green,LOW,LOW,LOW
3431,SAPONIFIED BRASSICA NAPUS (CANOLA) OIL,,None,1,1,Green,LOW,LOW,LOW
3432,LAURYL PEG-10 TRIS(TRIMETHYLSILOXY)SILYLETHYL DIMETHICONE,라우릴피이지-10트리스(트라이메틸실록시)실릴에틸다이메티콘,Limited,3,3,Yellow,LOW,LOW,LOW
3433,BENZOIN OIL,,None,1,1,Green,LOW,LOW,LOW
3434,CIMICIFUGA RACEMOSA (BLACK COHOSH) ROOT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
3435,HYDROLYZED OAT FLOUR,하이드롤라이즈드귀리가루,None,1,1,Green,LOW,LOW,LOW
3436,CITRUS AURANTIUM DULCIS (ORANGE) FLOWER WATER,오렌지꽃수,None,1,1,Green,LOW,LOW,LOW
3437,POLYGLYCERYL-2 TETRAISOSTEARATE,폴리글리세릴-2테트라아이소스테아레이트,Limited,1,1,Green,LOW,LOW,LOW
3438,POTASSIUM ASPARTATE,포타슘아스파테이트,Fair,1,1,Green,LOW,LOW,LOW
3439,SACCHAROMYCES/ COPPER FERMENT EXTRACT,,None,1,1,Green,LOW,LOW,LOW
3440,TANACETUM ANNUUM (BLUE TANSY) FLOWER OIL,,None,1,1,Green,LOW,LOW,LOW
3441,CAPROYL SPHINGOSINE,카프로일스핑고신,Limited,1,1,Green,LOW,LOW,LOW
3442,DECYL ALCOHOL,데실알코올,Limited,1,1,Green,LOW,LOW,LOW
3443,LACTOBACILLUS/ PUNICA GRANATUM FRUIT FERMENT EXTRACT,락토바실러스/석류발효추출물,None,1,1,Green,LOW,LOW,LOW
3444,PIMENTA ACRIS (BAY) LEAF OIL,베이잎오일,Limited,1,1,Green,LOW,LOW,LOW
3445,VITIS VINIFERA (GRAPE) VINE EXTRACT,포도덩굴추출물,None,1,1,Green,LOW,LOW,LOW
3446,BIS-HEMA POLY (1 4-BUTANEDIOL)-9/ IPDI COPOLYMER,"비스-에이치이엠에이폴리(1,4-부타네디올)-9/아이피디아이코폴리머",None,1,1,Green,LOW,LOW,LOW
3447,ARGININE/ LYSINE POLYPEPTIDE,알지닌/라이신폴리펩타이드,None,1,1,Green,LOW,LOW,LOW
3448,COCONUT OIL CLEANSING COMPLEX,,None,4,4,Yellow,LOW,LOW,LOW
3449,GLYCERYL STEARATE/ PEG-100 STEARATE,,None,3,3,Yellow,LOW,LOW,LOW
3450,SODIUM COCOYL METHYL TAURATE,,None,1,1,Green,LOW,LOW,LOW
3451,STEARYL DIHYDROXYPROPYLDIMONIUM OLIGOSACCHARIDES,스테아릴다이하이드록시프로필다이모늄올리고사카라이드,None,1,1,Green,LOW,LOW,LOW
3452,TILIA CORDATA (LINDEN) FLOWER,,Limited,1,1,Green,LOW,LOW,LOW
3453,VINYL DIMETHICONE,비닐다이메티콘,None,1,1,Green,LOW,LOW,LOW
3454,ACRYLATES/ STEARYL ACRYLATE/ DIMETHICONE METHACRYLATE COPOLYMER,아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머,None,1,1,Green,LOW,LOW,LOW
3455,HYDROLYZED COTTONSEED PROTEIN,하이드롤라이즈드코튼씨드단백질,None,1,1,Green,LOW,LOW,LOW
3456,MARRUBIUM VULGARE EXTRACT,쓴박하추출물,None,1,1,Green,LOW,LOW,LOW
3457,OCIMUM BASILICUM,,Limited,1,1,Green,LOW,LOW,LOW
3458,PIPER NIGRUM (BLACK PEPPER) FRUIT OIL,,Limited,1,1,Green,LOW,LOW,LOW
3459,VACCINIUM CORYMBOSUM (BLUEBERRY) FRUIT,하이부시블루베리열매,Limited,1,1,Green,LOW,LOW,LOW
3460,SODIUM LAURYL SARCOSINATE,,Limited,1,1,Green,LOW,LOW,LOW
3461,CITRUS LIMON (LEMON) LEAF OIL,레몬잎오일,Limited,2,2,Green,LOW,LOW,LOW
3462,ACIDOPHILUS EXTRACT,,None,1,1,Green,LOW,LOW,LOW
3463,DODECANE,도데칸,Fair,1,1,Green,LOW,LOW,LOW
3464,VACCINIUM CORYMBOSUM (BLUEBERRY) SEED OIL,하이부시블루베리씨오일,Limited,1,1,Green,LOW,LOW,LOW
