,ingredient name,kor ingredient name,data available level,score with min,score,score class,cancer,developmental & reproductive toxicity,allergies & immunotoxicity
96,RETINYL PALMITATE (VITAMIN A PALMITATE),,Fair,6-9,9,Red,LOW_MODERATE,HIGH,LOW
97,POLYBUTENE,폴리부텐,Limited,1,1,Green,LOW,LOW,LOW
98,OCTINOXATE,,Fair,5,5,Yellow,LOW,LOW,LOW_MODERATE
99,BUTYL ACETATE,부틸아세테이트,Limited,1,1,Green,LOW,LOW,LOW
100,TRIETHANOLAMINE,트라이에탄올아민,Good,5,5,Yellow,LOW,LOW,MODERATE
101,ACRYLATES COPOLYMER,아크릴레이트코폴리머,Limited,2,2,Green,LOW,LOW,LOW
102,ETHYL ACETATE,에틸아세테이트,Fair,1,1,Green,LOW,LOW,LOW
103,ALUMINA,알루미나,Good,2,2,Green,LOW,LOW,LOW
104,CHROMIUM OXIDE GREENS,크로뮴옥사이드그린,Limited,2-5,5,Yellow,LOW,LOW,LOW
105,CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT,마트리카리아꽃추출물,Limited,2,2,Green,LOW,LOW,LOW
106,FD&C Yellow No. 6 (CI 15985) Aluminum Lake,,Limited,3-7,7,Red,LOW,LOW,LOW_MODERATE
107,ALLANTOIN,알란토인,Fair,1,1,Green,LOW,LOW,LOW
108,ALOE BARBADENSIS (ALOE VERA) LEAF EXTRACT,,Limited,1-3,3,Yellow,MODERATE,LOW,LOW
109,NITROCELLULOSE,나이트로셀룰로오스,Fair,1,1,Green,LOW,LOW,LOW
110,HEXYLENE GLYCOL,헥실렌글라이콜,Fair,1,1,Green,LOW,LOW,LOW
111,FERRIC AMMONIUM FERROCYANIDE,페릭암모늄페로시아나이드,Limited,1-4,4,Yellow,LOW,LOW,LOW
112,PHENYL TRIMETHICONE,페닐트라이메티콘,Limited,1,1,Green,LOW,LOW,LOW
113,BORON NITRIDE,보론나이트라이드,Fair,1,1,Green,LOW,LOW,LOW
114,ZINC STEARATE,징크스테아레이트,Fair,2,2,Green,LOW,LOW,LOW
115,ETHYLPARABEN,에틸파라벤,Fair,3,3,Yellow,LOW,LOW,LOW_MODERATE
116,HYDROGENATED POLYISOBUTENE,하이드로제네이티드폴리아이소부텐,Limited,1,1,Green,LOW,LOW,LOW
117,ETHANOL,,Fair,1,1,Green,LOW,LOW,LOW
118,PETROLATUM,페트롤라툼,Fair,1-4,4,Yellow,LOW,LOW,LOW
119,SQUALANE,스쿠알란,Limited,1,1,Green,LOW,LOW,LOW
120,TRIETHOXYCAPRYLYLSILANE,트라이에톡시카프릴릴실레인,Limited,1,1,Green,LOW,LOW,LOW
121,ARGANIA SPINOSA (ARGAN) KERNEL OIL,,Limited,1,1,Green,LOW,LOW,LOW
122,GLYCINE SOJA (SOYBEAN) OIL,돌콩오일,Fair,1,1,Green,LOW,LOW,LOW
123,FLAVOR,향료,Fair,4,4,Yellow,LOW,LOW,LOW
124,BENZYL SALICYLATE,벤질살리실레이트,Limited,3-5,5,Yellow,LOW,LOW,HIGH
125,CITRAL,시트랄,Fair,3-5,5,Yellow,LOW,LOW,HIGH
126,AVOBENZONE,,Limited,1-2,2,Green,LOW,LOW,LOW
127,LILIAL,,Fair,7,7,Red,LOW,LOW_MODERATE,HIGH
128,ALUMINUM POWDER,알루미늄가루,Good,4-9,9,Red,LOW,LOW,LOW
129,OCTISALATE,,Fair,1-3,3,Yellow,LOW,LOW,LOW_MODERATE
130,BENZYL BENZOATE,벤질벤조에이트,Fair,4-5,5,Yellow,LOW,LOW,HIGH
131,ALUMINUM HYDROXIDE,알루미늄하이드록사이드,Fair,1,1,Green,LOW,LOW,LOW
132,D&C Red No. 33 (CI 17200),,Limited,1-4,4,Yellow,LOW,LOW,LOW
133,C12-15 ALKYL BENZOATE,C12-15알킬벤조에이트,Limited,1,1,Green,LOW,LOW,LOW
134,PEG-100 STEARATE,피이지-100스테아레이트,Limited,1-3,3,Yellow,LOW,LOW,LOW
135,SODIUM DEHYDROACETATE,소듐데하이드로아세테이트,Limited,1,1,Green,LOW,LOW,LOW
136,ASCORBIC ACID (VITAMIN C),,Fair,1,1,Green,LOW,LOW,LOW
137,DMDM HYDANTOIN (FORMALDEHYDE RELEASER),,Limited,6,6,Yellow,LOW,LOW,HIGH
138,HYDROXYETHYLCELLULOSE,하이드록시에틸셀룰로오스,Fair,1,1,Green,LOW,LOW,LOW
139,PROPANEDIOL,프로판다이올,Fair,2,2,Green,LOW,LOW,LOW
